Name,Role,BasePrice,Rating
Dwayne Smith,All-Rounder,10000000,81
Dhawal Kulkarni,Bowler,3000000,67
Ishan Kishan,Wicket Keeper,7500000,75
Jaydev Shah,All-Rounder,3000000,62
Shadab Jakati,All-Rounder,3000000,64
Pravin Tambe,Bowler,2000000,60
Pradeep Sangwan,All-Rounder,2000000,69
Shivil Kaushik,Bowler,2000000,67
Akshdeep Nath,All-Rounder,5000000,71
Sarabjit Ladda,Bowler,10000000,88
Umang Sharma,Batsman,2000000,67
Paras Dogra,Batsman,2000000,68
Mohit Sharma,Bowler,5000000,77
Farhaan Behardien,All-Rounder,3000000,60
Armaan Jaffer,Batsman,15000000,92
Swapnil Singh,All-Rounder,5000000,75
Ankit Singh Rajpoot,Bowler,5000000,70
John Hastings,Bowler,7500000,75
Colin Munro,All-Rounder,2000000,62
Rajagopal Sathish,All-Rounder,7500000,75
Manan Ajay Sharma,All-Rounder,5000000,74
Jos Buttler,Wicket Keeper,20000000,99
Nathu Singh,Bowler,15000000,87
Tim Southee,Bowler,10000000,81
Krunal Pandya,All-Rounder,20000000,95
Kishore Pramod Kamath,All-Rounder,20000000,94
Deepak Punia,All-Rounder,20000000,91
Jitesh Sharma,Wicket Keeper,15000000,92
Mitchell Marsh,All-Rounder,7500000,78
M. Ashwin,Bowler,20000000,93
Ishant Sharma,Bowler,15000000,86
Rajat Bhatia,All-Rounder,3000000,62
Ashok Dinda,Bowler,10000000,86
Scott Boland,Bowler,10000000,83
Peter Handscomb,Wicket Keeper,20000000,94
Adam Zampa,Bowler,5000000,72
Ishwar Chandra Pandey,Bowler,15000000,88
Deepak Chahar,All-Rounder,5000000,74
Jaskaran Singh,Bowler,7500000,84
Baba Aparajith,All-Rounder,7500000,78
Ankit Sharma,All-Rounder,5000000,77
Shane Watson,All-Rounder,10000000,81
Stuart Binny,All-Rounder,20000000,99
Samuel Badree,Bowler,20000000,91
Praveen Dubey,All-Rounder,10000000,81
Vikramjeet Malik,Bowler,5000000,78
Akshay Karnewar,All-Rounder,5000000,70
Iqbal Abdullah,All-Rounder,15000000,94
Sachin Baby,Batsman,20000000,93
Vikas Tokas,Bowler,10000000,81
Ashish Nehra,Bowler,5000000,76
Deepak Hooda,All-Rounder,5000000,76
Mustafizur Rahman,Bowler,7500000,84
Aditya Tare,Wicket Keeper,2000000,64
Barinder Singh Sran,Bowler,3000000,63
Ben Cutting,All-Rounder,2000000,66
Vijay Shankar,All-Rounder,20000000,93
Tirumalasetti Suman,Batsman,20000000,98
Avanish Rao Aravelly ,Wicket-Keeper ,10000000,86
Daryl Mitchell ,All-Rounder ,2000000,68
Sameer Rizvi ,Batter ,7500000,84
Rachin Ravindra ,All-Rounder ,2000000,68
Shardul Thakur ,All-Rounder ,2000000,64
Ricky Bhui ,Wicket-Keeper ,10000000,80
Sumit Kumar ,All-Rounder ,3000000,60
Swastik Chhikara ,Batter ,2000000,66
Shai Hope ,Wicket-Keeper ,10000000,87
Rasikh Dar ,Bowler ,3000000,61
Kumar Kushagra ,Wicket-Keeper ,2000000,68
Tristan Stubbs ,Wicket-Keeper ,2000000,66
Harry Brook ,Batter ,3000000,64
Kartik Tyagi ,Bowler ,20000000,91
Spencer Johnson ,Bowler ,20000000,93
Manav Suthar ,Bowler ,7500000,78
Robin Minz ,Wicket-Keeper ,15000000,90
Sushant Mishra ,Bowler ,5000000,76
Azmatullah Omarzai ,All-Rounder ,7500000,76
Mujeeb Rahman ,Bowler ,20000000,97
Manish Pandey ,Batter ,7500000,81
Gus Atkinson ,Bowler ,2000000,67
Angkrish Raghuvanshi ,Batter ,7500000,78
Mitchell  Starc ,Bowler ,7500000,77
Sherfane Rutherford ,Batter ,10000000,80
Ramandeep  Singh ,All-Rounder ,5000000,79
K.S. Bharat ,Wicket-Keeper ,10000000,89
Sakib Hussain ,Bowler ,3000000,69
Ashton Turner ,Batter ,7500000,78
David Willey  ,All-Rounder ,2000000,64
M. Siddharth ,Bowler ,2000000,68
Shivam  Mavi ,Bowler ,15000000,87
Arshin Kulkarni ,All-Rounder ,20000000,96
Mohd. Arshad Khan ,All-Rounder ,3000000,62
Dilshan Madushanka ,Bowler ,2000000,68
Shreyas Gopal ,Bowler ,5000000,71
Shivalik Sharma ,All-Rounder ,5000000,78
Anshul Kamboj ,All-Rounder ,3000000,66
Mohammad Nabi ,All-Rounder ,15000000,94
Naman Dhir ,All-Rounder ,20000000,99
Nuwan Thushara ,Bowler ,10000000,88
Gerald Coetzee ,All-Rounder ,2000000,65
Chris Woakes  ,All-Rounder ,10000000,84
Tanay Thyagarajann ,All-Rounder ,20000000,91
Vishwanath Pratap Singh ,All-Rounder ,20000000,99
Ashutosh Sharma ,All-Rounder ,7500000,81
Shashank  Singh ,Batter ,7500000,76
Rilee Rossouw ,Batter ,5000000,76
Prince Choudhary ,Bowler ,7500000,76
Harshal Patel ,All-Rounder ,3000000,63
Shubham Dubey ,Batter ,15000000,85
Rovman Powell ,Batter ,10000000,87
Abid Mushtaq ,All-Rounder ,15000000,90
Nandre Burger ,Bowler ,15000000,87
Tom Kohler-Cadmore ,Wicket-Keeper ,2000000,69
Lockie Ferguson ,Bowler ,5000000,75
Saurav Chuahan ,Batter ,5000000,71
Alzarri Joseph ,Bowler ,15000000,92
Swapnil Singh ,All-Rounder ,10000000,86
Yash  Dayal ,Bowler ,15000000,88
Jhathavedh Subramanyan ,Bowler ,20000000,99
Jaydev Unadkat ,Bowler ,20000000,97
Wanindu Hasaranga ,All-Rounder ,15000000,88
Pat Cummins ,All-Rounder ,5000000,79
Travis Head ,Batter ,2000000,61
Faf Du Plessis,Batsman,20000000,95
Brendon McCullum,Wicket Keeper,2000000,69
Ben Hilfenhaus,Bowler,10000000,86
Matt Henry,Bowler,2000000,68
Mithun Manhas,All-Rounder,10000000,87
Ronit More,Bowler,20000000,97
Mohammad Shami,Bowler,2000000,66
Manoj Tiwary,Batsman,7500000,80
Jean-Paul Duminy,Batsman,20000000,95
Ross Taylor,Batsman,15000000,89
Kedar Jadhav,Batsman,2000000,69
Mayank Agarwal,Batsman,20000000,98
Wayne Parnell,Bowler,7500000,80
Shahbaz Nadeem,Bowler,3000000,60
Saurabh Tiwary,Batsman,10000000,81
Rahul Shukla,Bowler,3000000,63
Jayant Yadav,All-Rounder,2000000,64
HS Sharath,Bowler,2000000,69
Milind Kumar,Batsman,5000000,75
Mitchell Johnson,All-Rounder,10000000,89
George Bailey,Batsman,3000000,66
Virender Sehwag,Batsman,15000000,85
Rishi Dhawan,All-Rounder,5000000,75
Wriddhiman Saha,Wicket Keeper,10000000,85
Shaun Marsh,Batsman,15000000,85
Beuran Hendricks,Bowler,7500000,77
Lakshmipathy Balaji,Bowler,15000000,88
Gurkirat Singh Mann,Batsman,2000000,61
Murali Kartik,Bowler,10000000,82
Sandeep Sharma,Bowler,2000000,66
Mandeep Hardev Singh,All-Rounder,2000000,60
Akshar Rajesh Patel,All-Rounder,5000000,71
Parvinder Awana,Bowler,7500000,78
Shardul Narendra Thakur,Bowler,20000000,99
Anureet Singh,Bowler,3000000,60
Shivam Sharma,Bowler,10000000,86
Karanveer Singh,All-Rounder,3000000,67
Jacques Kallis,All-Rounder,20000000,99
Robin Uthappa,Batsman,15000000,86
Piyush Chawla,Bowler,7500000,82
Yusuf Pathan,All-Rounder,2000000,63
Shakib Al Hasan,All-Rounder,5000000,71
Morne Morkel,Bowler,5000000,73
Ranganath Vinay Kumar,Bowler,3000000,65
Umesh Yadav,Bowler,15000000,92
Manish Pandey,Batsman,15000000,91
Chris Lynn,Batsman,10000000,87
Patrick Cummins,Bowler,7500000,75
Ryan Ten Doeschate,All-Rounder,3000000,65
Suryakumar Yadav,Batsman,15000000,93
Andre Russell,All-Rounder,10000000,81
Manvinder Bisla,Wicket Keeper,7500000,78
Veer Pratap Singh,Bowler,2000000,69
Kuldeep Singh Yadav,Bowler,3000000,66
Debabrata Das,Wicket Keeper,10000000,88
Sayan Sekhar Mandal,All-Rounder,20000000,93
Corey Anderson,All-Rounder,20000000,90
Jasprit Bumrah,Bowler,20000000,97
Josh Hazlewood,Bowler,5000000,73
Marchant De Lange,Bowler,7500000,80
Krismar Santokie,Bowler,3000000,67
Ben Dunk,Wicket Keeper,3000000,61
Apoorv Vijay Wankhade,Batsman,10000000,88
Sushant Marathe,Wicket Keeper,10000000,84
Shreyas Gopal,Bowler,10000000,83
Steven Smith,All-Rounder,7500000,84
Brad Hodge,Batsman,5000000,79
Unmukt Chand,Batsman,5000000,72
Dishant Yagnik,Wicket Keeper,15000000,86
Kevon Cooper,All-Rounder,20000000,92
Ankit Nagendra Sharma,Bowler,10000000,83
Rahul Tewatia,All-Rounder,3000000,64
Mitchell Starc,Bowler,3000000,63
Varun Aaron,Bowler,20000000,95
Parthiv Patel,Wicket Keeper,5000000,70
Muttiah Muralitharan,Bowler,5000000,79
Nic Maddinson,Batsman,3000000,69
Harshal Patel,Bowler,20000000,91
Vijay Zol,Batsman,20000000,93
Abu Nechim Ahmed,Bowler,15000000,92
Sachin Rana,Bowler,3000000,62
Sandeep Warrier,Bowler,5000000,74
Tanmay Mishra,Batsman,10000000,80
Yogesh Takawale,Wicket Keeper,20000000,96
Yuzvendra Singh Chahal,Bowler,3000000,64
David Warner,Batsman,20000000,90
Bhuvneshwar Kumar,Bowler,3000000,67
Karn Sharma,Bowler,10000000,83
KL Rahul,Batsman,3000000,62
Parveez Rasool,All-Rounder,10000000,81
Venugopal Rao,Batsman,2000000,65
Naman Ojha,Wicket Keeper,3000000,67
Brendan Taylor,Wicket Keeper,2000000,64
Prasanth Parameswaran,Bowler,3000000,67
Amit Paunikar,Wicket Keeper,10000000,89
Ashish Reddy,Bowler,5000000,71
Srikkanth Anirudha,Batsman,15000000,90
Ricky Bhui,Batsman,7500000,78
Manprit Juneja,Batsman,2000000,69
Sam Curran,All-Rounder,2000000,66
R. Sai Kishore,Bowler,15000000,89
Shimron Hetmyer,Batsman,7500000,78
Alex Carey,Wicket Keeper,5000000,75
Jason Roy,Batsman,10000000,82
Chris Woakes,All-Rounder,5000000,76
Tushar Deshpande,Bowler,15000000,90
Lalit Yadav,All-Rounder,7500000,81
Sheldon Cottrell,Bowler,20000000,97
Chris Jordan,All-Rounder,3000000,65
Prabhsimran Singh,Wicket Keeper,15000000,87
Tajinder Dhillon,All-Rounder,20000000,96
Ishan Porel,Bowler,20000000,95
Pat Cummins,All-Rounder,10000000,81
Varun Chakaravarthy,All-Rounder,3000000,68
Tom Banton,Batsman,10000000,84
Chris Green,All-Rounder,15000000,89
M Siddharth,Bowler,3000000,68
Digvijay Deshmukh,All-Rounder,5000000,73
Prince Balwant Rai Singh,All-Rounder,3000000,60
Mohsin Khan,Bowler,2000000,62
Yashasvi Jaiswal,All-Rounder,3000000,60
Tom Curran,All-Rounder,15000000,88
Anuj Rawat,Wicket Keeper,20000000,92
David Miller,Batsman,2000000,68
Oshane Thomas ,Bowler,10000000,87
Anirudha Ashok Joshi,All-Rounder,5000000,79
Akash Singh,Bowler,20000000,91
Isuru Udana,All-Rounder,3000000,65
Shahbaz Ahamad,Wicket Keeper,10000000,87
Joshua Philippe,Wicket Keeper,3000000,66
Pavan Deshpande,All-Rounder,15000000,89
Priyam Garg,Batsman,7500000,78
Virat Singh,Batsman,5000000,74
Fabian Allen,All-Rounder,20000000,94
Sandeep Bavanaka,All-Rounder,3000000,61
Sanjay Yadav,All-Rounder,5000000,79
Abdul Samad,All-Rounder,20000000,96
Ruturaj Gaikwad ,Batsman,20000000,91
Colin Ingram,Batsman,20000000,94
Axar Rajesh Patel,All-Rounder,20000000,94
Sherfane Rutherford,All-Rounder,5000000,76
Keemo Paul,All-Rounder,20000000,95
Bandaru Ayyappa,Bowler,20000000,91
Nicolas Pooran,Wicket Keeper,3000000,63
Hardus Viljoen,Bowler,10000000,80
Darshan Nalkande,All-Rounder,20000000,95
Arshdeep Singh ,Bowler,10000000,81
Agnivesh Ayachi,All-Rounder,20000000,97
Harpreet Brar,All-Rounder,7500000,78
Joe Denly ,Batsman,10000000,87
Harry Gurney,Bowler,5000000,74
Shrikant Mundhe,All-Rounder,5000000,78
Prithvi Raj Yarra,Bowler,5000000,77
Anrich Nortje,Bowler,10000000,87
Lasith Malinga,Bowler,2000000,65
Anmolpreet Singh,Batsman,2000000,68
Pankaj Jaswal,All-Rounder,15000000,89
Rasikh Dar,Bowler,7500000,79
Ashton Turner,All-Rounder,7500000,81
Liam Livingstone,All-Rounder,2000000,67
Shashank Singh,All-Rounder,2000000,65
Riyan Parag,All-Rounder,7500000,75
Manan Vohra,Batsman,15000000,85
Shubham Ranjane,All-Rounder,15000000,94
Shivam Dube,All-Rounder,2000000,60
Prayas Ray Barman,All-Rounder,5000000,71
Himmat Singh,Batsman,20000000,98
Gurkeerat Singh Mann,All-Rounder,10000000,83
Heinrich Klaasen,Wicket Keeper,15000000,94
Devdutt Padikkal,Batsman,7500000,78
Jonny Bairstow ,Wicket Keeper,10000000,86
Martin Guptill,Batsman,5000000,74
Robin Uthappa ,Batsman ,10000000,80
Dwayne Bravo ,All-Rounder ,20000000,91
Ambati Rayudu ,Wicket Keeper ,5000000,76
Deepak Chahar ,Bowler ,2000000,63
C.Hari Nishaanth ,Batsman ,3000000,64
N. Jagadeesan ,Wicket Keeper ,7500000,75
K.M. Asif ,Bowler ,20000000,91
Tushar Deshpande ,Bowler ,15000000,86
Chris Jordan ,All-Rounder ,10000000,85
Maheesh Theekshana ,Bowler ,7500000,83
Rajvardhan Hangargekar ,All-Rounder ,10000000,84
Simarjeet Singh ,Bowler ,3000000,64
Devon Conway ,Batsman ,2000000,60
Dwaine Pretorius ,All-Rounder ,5000000,72
Mitchell Santner ,All-Rounder ,20000000,90
Subhranshu Senapati ,Batsman ,7500000,77
Mukesh Choudhary ,Bowler ,3000000,63
Prashant Solanki ,Bowler ,2000000,68
K.Bhagath Varma ,All-Rounder ,10000000,86
David Warner ,Batsman ,7500000,79
Mitchell Marsh ,All-Rounder ,20000000,97
Kuldeep Yadav ,Bowler ,10000000,81
Ashwin Hebbar ,Batsman ,2000000,68
Sarfaraz Khan ,All-Rounder ,2000000,66
Kamlesh Nagarkoti ,All-Rounder ,7500000,83
Mandeep Singh ,Batsman ,3000000,66
Syed Khaleel Ahmed ,Bowler ,2000000,67
Lungisani Ngidi ,Bowler ,15000000,87
Yash Dhull ,All-Rounder ,7500000,84
Vicky Ostwal ,All-Rounder ,3000000,64
Lalit Yadav ,All-Rounder ,15000000,88
Tim Seifert ,Wicket Keeper ,7500000,84
Pravin Dubey ,All-Rounder ,10000000,85
Mohammad Shami ,Bowler ,5000000,73
David Miller ,Batsman ,15000000,90
Jason Roy  ,Batsman ,5000000,71
Wriddhiman  Saha ,Wicket Keeper ,5000000,71
Matthew Wade ,Wicket Keeper ,10000000,88
Abhinav Sadarangani ,Batsman ,7500000,83
Rahul Tewatia ,All-Rounder ,3000000,60
Noor  Ahmad ,Bowler ,3000000,64
R. Sai Kishore ,Bowler ,5000000,73
Dominic Drakes ,All-Rounder ,5000000,78
Vijay Shankar ,All-Rounder ,3000000,65
Jayant Yadav ,All-Rounder ,15000000,85
Darshan Nalkande ,All-Rounder ,2000000,66
B. Sai Sudharsan ,All-Rounder ,10000000,88
Gurkeerat Singh ,All-Rounder ,5000000,71
Varun Aaron ,Bowler ,7500000,77
Pradeep Sangwan ,All-Rounder ,20000000,96
Shreyas Iyer ,Batsman ,5000000,78
Mohammad  Nabi ,All-Rounder ,5000000,74
Nitish Rana ,All-Rounder ,15000000,93
Sam Billings  ,Wicket Keeper ,15000000,89
Ajinkya Rahane ,Batsman ,5000000,75
Rinku Singh ,Batsman ,7500000,82
Anukul Roy ,All-Rounder ,7500000,80
Alex Hales  ,Batsman ,3000000,69
Tim Southee ,Bowler ,10000000,86
Baba Indrajith ,Wicket Keeper ,7500000,77
Chamika Karunaratne ,All-Rounder ,2000000,63
Abhijeet Tomar ,Batsman ,3000000,68
Aman Khan ,All-Rounder ,7500000,78
Ramesh Kumar ,Batsman ,7500000,78
Pratham Singh ,Batsman ,7500000,78
Ashok Sharma ,Bowler ,15000000,93
Quinton De Kock ,Wicket Keeper ,5000000,70
Krunal Pandya ,All-Rounder ,20000000,98
Mark Wood ,Bowler ,5000000,75
Avesh Khan ,Bowler ,7500000,78
Ankit Singh Rajpoot ,Bowler ,2000000,68
K. Gowtham ,All-Rounder ,20000000,95
Dushmanta Chameera ,Bowler ,20000000,93
Shahbaz Nadeem ,Bowler ,20000000,95
Manan Vohra ,Batsman ,7500000,82
Evin Lewis ,Batsman ,2000000,69
Mohsin Khan ,Bowler ,20000000,92
Mayank Yadav ,Bowler ,15000000,92
Ayush Badoni ,All-Rounder ,2000000,69
Kyle Mayers ,All-Rounder ,10000000,80
Karan Sharma ,All-Rounder ,3000000,61
Jason Holder ,All-Rounder ,20000000,98
Deepak Hooda ,All-Rounder ,5000000,73
Ishan Kishan ,Wicket Keeper ,5000000,72
Dewald Brevis ,Batsman ,15000000,87
Anmolpreet Singh ,Batsman ,15000000,86
Basil Thampi ,Bowler ,20000000,90
Murugan Ashwin ,Bowler ,7500000,79
Mayank Markande ,Bowler ,7500000,77
N. Tilak Varma ,All-Rounder ,15000000,85
Sanjay Yadav ,All-Rounder ,20000000,95
Jofra Archer ,All-Rounder ,20000000,96
Daniel Sams ,All-Rounder ,10000000,86
Tymal Mills ,Bowler ,2000000,62
Tim David ,All-Rounder ,10000000,80
Aryan Juyal ,Wicket Keeper ,7500000,77
Rahul Buddhi ,Batsman ,7500000,84
Hrithik Shokeen ,All-Rounder ,3000000,60
Arjun  Tendulkar ,All-Rounder ,3000000,69
Shikhar Dhawan ,Batsman ,2000000,66
Kagiso Rabada ,Bowler ,3000000,69
Jonny Bairstow  ,Wicket Keeper ,7500000,79
Rahul Chahar ,Bowler ,10000000,86
Harpreet  Brar ,All-Rounder ,2000000,63
Jitesh Sharma ,Wicket Keeper ,5000000,71
Prabhsimran Singh ,Wicket Keeper ,5000000,71
Ishan Porel ,Bowler ,3000000,60
Odean Smith ,All-Rounder ,2000000,60
Sandeep Sharma ,Bowler ,3000000,65
Raj Angad Bawa ,All-Rounder ,2000000,61
Rishi Dhawan ,All-Rounder ,3000000,69
Nathan Ellis ,Bowler ,20000000,92
Prerak Mankad ,All-Rounder ,20000000,97
Atharva Taide ,All-Rounder ,7500000,78
Bhanuka Rajapaksa ,Batsman ,15000000,91
Benny Howell ,All-Rounder ,5000000,75
Writtick Chatterjee ,All-Rounder ,5000000,76
Baltej Dhanda ,Bowler ,3000000,64
Ansh Patel ,All-Rounder ,2000000,66
R. Ashwin ,All-Rounder ,10000000,84
Trent Boult ,Bowler ,3000000,67
Shimron Hetmyer ,Batsman ,5000000,78
Devdutt Padikkal ,Batsman ,10000000,86
Prasidh Krishna ,Bowler ,7500000,78
Yuzvendra Chahal ,Bowler ,7500000,75
Riyan Parag ,All-Rounder ,2000000,61
Navdeep Saini ,Bowler ,5000000,72
Kuldeep  Sen ,Bowler ,5000000,75
Rassie Van Der Dussen ,Batsman ,7500000,81
Obed Mccoy ,Bowler ,10000000,86
Dhruv Jurel ,Wicket Keeper ,5000000,70
Tejas Baroka ,Bowler ,5000000,76
Shubham Garhwal ,All-Rounder ,5000000,76
Anunay Singh ,All-Rounder ,20000000,92
Faf Du Plessis ,Batsman ,15000000,89
Dinesh  Karthik ,Wicket Keeper ,3000000,60
Josh Hazlewood  ,Bowler ,2000000,69
Shahbaz Ahamad ,All-Rounder ,2000000,66
Anuj Rawat ,Wicket Keeper ,7500000,77
Akash  Deep  ,Bowler ,20000000,95
Karn Sharma ,Bowler ,10000000,87
Mahipal Lomror ,All-Rounder ,15000000,86
Finn Allen ,Batsman ,2000000,63
Jason Behrendorff ,Bowler ,3000000,68
Siddharth  Kaul ,Bowler ,10000000,88
Suyash Prabhudessai ,All-Rounder ,2000000,60
Luvnith Sisodia ,Wicket Keeper ,3000000,61
Chama Milind ,Bowler ,7500000,82
Aneeshwar Gautam ,All-Rounder ,5000000,70
Washington Sundar ,All-Rounder ,15000000,94
Nicholas Pooran ,Wicket Keeper ,20000000,94
